submission_id,age,cups,where,home_brew,on_the_go,favorite_drink,add,prefer_kind,prefer_strength,prefer_roast,prefer_caffeine,self_experience,a_bitterness,a_acidity,a_preference,b_bitterness,b_acidity,b_preference,c_bitterness,c_acidity,c_preference,d_bitterness,d_acidity,outcome,abc_prefer,work_from,monthly_spending,why_coffee,like_taste,know_where_from,most_for_cup,most_willing_for_cup,cafe_good_value,equipment_spent,equipment_good_value,gender,marital_status,hh_income,education,ethnicity_race,employment,children,party,state,state_name,total_votes,biden_votes,biden_votes_share,biden_ev,trump_votes,trump_votes_share,trump_ev,other_votes,other_votes_share,other_ev
996,>65 years old,3,At home,"Pour over, French press",NA,Latte,No - just black,Bright,Somewhat strong,Dark,Full caffeine,7,4,2,3,2,3,4,3,3,3,4,3,2,Coffee B,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$4-$6,$6-$8,No,$20-$50,Yes,Male,Married,"$50,000 - $74,999",High school graduate,White/Caucasian,Retired,1,Democrat,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
479,25-34 years old,2,At home,Pour over,NA,Pourover,No - just black,Fruity,Somewhat strong,Light,Full caffeine,7,2,3,3,4,1,2,3,2,2,1,4,-1,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Married,"$150,000 or more",Master's degree,White/Caucasian,Employed full-time,None,Democrat,CO,Colorado,"3,256,952","1,804,352",55.40%,9,"1,364,607",41.90%,,"87,993",2.70%,
634,25-34 years old,2,At home,Pour over,NA,Pourover,No - just black,Juicy,Medium,Light,Full caffeine,7,2,5,5,4,2,3,4,1,2,1,4,-2,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$15-$20,Yes,$300-$500,Yes,Male,Single,"$50,000 - $74,999",Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Independent,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
901,35-44 years old,1,At home,Espresso,NA,Iced coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Chocolatey,Somewhat strong,Blonde,Full caffeine,2,2,4,2,3,3,3,2,2,4,2,4,1,Coffee C,I primarily work from home,$20-$40,"I need the caffeine, I need the ritual, It tastes good",Yes,No,$8-$10,$8-$10,Yes,$20-$50,Yes,Female,Married,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,Employed part-time,More than 3,Independent,AZ,Arizona,"3,387,326","1,672,143",49.36%,11,"1,661,686",49.06%,,"53,497",1.58%,
578,25-34 years old,2,"At home, At a cafe","Pour over, Espresso",NA,Cortado,"No - just black, Milk, dairy alternative, or coffee creamer",Juicy,Somewhat light,Light,Half caff,5,4,4,2,2,2,1,2,3,2,3,4,-2,Coffee A,I do a mix of both,$60-$80,It tastes good,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,Single,"$150,000 or more",Bachelor's degree,Hispanic/Latino,Employed full-time,None,Democrat,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
1403,18-24 years old,2,"At home, At a cafe","Pour over, Espresso",NA,Pourover,No - just black,Bright,Medium,Nordic,Full caffeine,8,2,4,3,3,3,4,4,1,2,1,4,2,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,Single,NA,Bachelor's degree,Asian/Pacific Islander,Student,None,No affiliation,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
1132,25-34 years old,3,"At home, At the office","Pour over, Espresso, Other, Coffee extract (e.g. Cometeer)",NA,Pourover,No - just black,Fruity,Somewhat strong,Nordic,Full caffeine,6,1,5,4,3,1,2,4,2,2,2,3,0,Coffee A,I primarily work from home,>$100,It tastes good,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Single,"$75,000 - $99,999",Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation,ND,North Dakota,"361,819","114,902",31.76%,,"235,595",65.11%,3,"11,322",3.13%,
131,35-44 years old,3,"At home, On the go","Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Coffee extract (e.g. Cometeer), Other","National chain (e.g. Starbucks, Dunkin)",Pourover,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Bright,Medium,Light,Full caffeine,6,1,3,3,2,2,2,3,3,1,1,4,-2,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$10-$15,Yes,$300-$500,Yes,Male,Single,"$100,000 - $149,999",Master's degree,White/Caucasian,Employed full-time,None,Democrat,SC,South Carolina,"2,513,329","1,091,541",43.43%,,"1,385,103",55.11%,9,"36,685",1.46%,
1014,25-34 years old,Less than 1,None of these,NA,NA,Other,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",Floral,Medium,Medium,Full caffeine,1,4,5,1,4,3,3,2,1,5,2,2,-1,Coffee C,I primarily work from home,<$20,Other,No,No,$10-$15,$10-$15,Yes,Less than $20,Yes,Female,Living with a partner,"$150,000 or more",Master's degree,White/Caucasian,Employed full-time,None,Independent,WA,Washington,"4,087,631","2,369,612",57.97%,12,"1,584,651",38.77%,,"133,368",3.26%,
740,18-24 years old,2,"At home, At the office, At a cafe, On the go","Coffee brewing machine (e.g. Mr. Coffee), Other","Local cafe, Specialty coffee shop",Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Chocolatey,Somewhat strong,Light,Full caffeine,3,1,3,5,3,4,3,4,3,2,2,4,-1,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Female,Married,"$25,000 - $49,999",Master's degree,White/Caucasian,Student,None,Democrat,OK,Oklahoma,"1,560,699","503,890",32.29%,,"1,020,280",65.37%,7,"36,529",2.34%,
1952,25-34 years old,1,At home,"Pour over, Espresso",NA,Americano,No - just black,Fruity,Medium,Light,Full caffeine,9,1,4,4,5,2,1,4,2,2,2,3,-2,Coffee A,I primarily work from home,$60-$80,It tastes good,Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Married,"$150,000 or more",Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
298,45-54 years old,3,At home,Espresso,NA,Cortado,"Milk, dairy alternative, or coffee creamer",Fruity,Very strong,Light,Full caffeine,6,2,4,4,3,1,2,4,3,3,2,5,-2,Coffee A,I primarily work from home,NA,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Single,"$150,000 or more",Master's degree,White/Caucasian,Employed full-time,None,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,25-34 years old,2,"At home, At the office","Pour over, Espresso",NA,Pourover,No - just black,Nutty,Somewhat strong,Medium,Full caffeine,6,2,2,3,2,3,5,4,3,4,4,4,1,Coffee B,I primarily work in person,$40-$60,"I need the caffeine, It tastes good, I need the ritual",Yes,Yes,$10-$15,$6-$8,Yes,"More than $1,000",Yes,Male,Married,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,Employed full-time,2,Republican,TX,Texas,"11,315,056","5,259,126",46.48%,,"5,890,347",52.06%,38,"165,583",1.46%,
258,25-34 years old,2,"At the office, At a cafe, On the go, At home",Other,Local cafe,Cappuccino,"Milk, dairy alternative, or coffee creamer",Caramalized,Somewhat strong,Dark,Full caffeine,6,3,5,4,4,3,3,4,2,2,3,4,-2,Coffee B,I primarily work from home,$60-$80,"I need the caffeine, It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,$50-$100,Yes,Female,Single,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,25-34 years old,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",NA,Mocha,"No - just black, Sugar or sweetener",Bright,Somewhat strong,Medium,Full caffeine,5,3,4,1,1,1,4,3,2,3,1,3,-1,Coffee B,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Non-binary,Single,"$25,000 - $49,999",High school graduate,White/Caucasian,Employed part-time,None,No affiliation,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
2353,25-34 years old,1,"At a cafe, At home","French press, Pour over",NA,Pourover,No - just black,Bright,Medium,Light,Full caffeine,7,2,3,3,2,1,4,2,1,2,1,4,-2,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Living with a partner,NA,Master's degree,White/Caucasian,Employed full-time,None,No affiliation,MN,Minnesota,"3,277,171","1,717,077",52.40%,10,"1,484,065",45.28%,,"76,029",2.32%,
2744,25-34 years old,2,At home,"French press, Pour over, Other",NA,Pourover,No - just black,Chocolatey,Somewhat light,Medium,Full caffeine,7,2,3,4,4,1,2,1,5,5,3,2,-2,Coffee C,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$6-$8,$4-$6,No,$300-$500,Yes,Male,Married,"$50,000 - $74,999",Some college or associate's degree,Hispanic/Latino,Employed full-time,2,Republican,FL,Florida,"11,067,456","5,297,045",47.86%,,"5,668,731",51.22%,29,"101,680",0.92%,
307,18-24 years old,1,At home,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",NA,Cappuccino,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black",Nutty,Medium,Medium,Full caffeine,7,2,4,4,3,2,5,4,2,3,3,5,1,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",Yes,No,$6-$8,$6-$8,No,$500-$1000,Yes,Male,Living with a partner,"$50,000 - $74,999",Doctorate or professional degree,White/Caucasian,Student,None,Republican,TX,Texas,"11,315,056","5,259,126",46.48%,,"5,890,347",52.06%,38,"165,583",1.46%,
902,25-34 years old,Less than 1,"At home, At a cafe","Pour over, Coffee extract (e.g. Cometeer), Espresso",NA,Pourover,No - just black,Juicy,Somewhat strong,Light,Full caffeine,6,2,4,4,4,2,3,3,1,3,2,4,-2,Coffee A,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$6-$8,$6-$8,Yes,$500-$1000,Yes,Male,Living with a partner,"$150,000 or more",Some college or associate's degree,Hispanic/Latino,Employed full-time,None,Democrat,TX,Texas,"11,315,056","5,259,126",46.48%,,"5,890,347",52.06%,38,"165,583",1.46%,
1245,35-44 years old,2,At home,Espresso,NA,Espresso,No - just black,Fruity,Very strong,Light,Full caffeine,8,2,5,3,5,1,1,3,3,4,3,4,-2,Coffee C,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",No,Male,Married,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat,CO,Colorado,"3,256,952","1,804,352",55.40%,9,"1,364,607",41.90%,,"87,993",2.70%,
561,25-34 years old,2,"At home, At a cafe","Pour over, Espresso",NA,Pourover,No - just black,Fruity,Somewhat strong,Light,Full caffeine,6,1,4,4,3,1,3,2,1,3,2,3,-1,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,No,Male,Married,"$150,000 or more",Bachelor's degree,Other (please specify),Employed full-time,1,Democrat,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
136,35-44 years old,1,"At a cafe, At the office, At home","Pour over, Espresso",NA,Espresso,No - just black,Floral,Medium,Medium,Full caffeine,5,2,4,4,2,3,2,4,3,3,2,5,-1,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,Married,"$150,000 or more",Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
1169,25-34 years old,3,"At home, At the office","Pour over, Espresso",NA,Cortado,"No - just black, Milk, dairy alternative, or coffee creamer",Fruity,Somewhat strong,Light,Full caffeine,7,4,3,5,2,2,2,3,2,3,1,5,-1,Coffee A,I primarily work in person,$60-$80,"I need the ritual, It tastes good, I need the caffeine",Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Married,"$75,000 - $99,999",Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation,FL,Florida,"11,067,456","5,297,045",47.86%,,"5,668,731",51.22%,29,"101,680",0.92%,
959,35-44 years old,1,At home,Other,NA,Cappuccino,"Milk, dairy alternative, or coffee creamer",Full Bodied,Very strong,Light,Full caffeine,7,2,4,3,4,1,2,4,2,3,2,2,-2,Coffee A,I do a mix of both,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Non-binary,Married,"$150,000 or more",Master's degree,White/Caucasian,Employed full-time,None,Independent,MI,Michigan,"5,539,301","2,804,040",50.62%,16,"2,649,852",47.84%,,"85,409",1.54%,
2171,25-34 years old,2,"At the office, At home, At a cafe, On the go","Pour over, Espresso","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Pourover,No - just black,Fruity,Medium,Light,Full caffeine,7,2,4,3,4,1,4,3,2,3,2,4,1,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Married,"$150,000 or more",Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat,GA,Georgia,"4,997,716","2,473,633",49.50%,16,"2,461,854",49.26%,,"62,229",1.25%,
1800,25-34 years old,2,"At home, At the office","Pour over, Espresso",NA,Espresso,No - just black,Fruity,Very strong,Light,Full caffeine,8,4,4,4,5,5,1,2,2,2,3,4,-2,Coffee A,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,More than $20,No,"More than $1,000",Yes,Male,Single,"$50,000 - $74,999",Doctorate or professional degree,White/Caucasian,Employed full-time,None,No affiliation,FL,Florida,"11,067,456","5,297,045",47.86%,,"5,668,731",51.22%,29,"101,680",0.92%,
